STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00093721,1,3.08,6.4,34.3,43.2,25.4
USW00093721,2,2.9,7.5,36.6,46.4,26.9
USW00093721,3,4.01,2.8,44.3,54.8,33.9
USW00093721,4,3.39,0,55,66.5,43.6
USW00093721,5,3.85,0,64.4,75.5,53.3
USW00093721,6,3.98,0,73.5,84.4,62.6
USW00093721,7,4.48,0,78.3,88.8,67.7
USW00093721,8,4.09,0,76.2,86.5,65.8
USW00093721,9,4.44,0,69.2,79.7,58.8
USW00093721,10,3.94,0,57.4,68.3,46.5
USW00093721,11,3.13,0.1,46.9,57.3,36.5
USW00093721,12,3.71,2.5,38.6,47.5,29.6
USW00014739,1,3.39,14.3,29.9,36.8,23.1
USW00014739,2,3.21,14.4,31.8,39,24.6
USW00014739,3,4.17,9,38.3,45.5,31.1
USW00014739,4,3.63,1.6,48.6,56.4,40.8
USW00014739,5,3.25,0,58.4,66.5,50.3
USW00014739,6,3.89,0,68,76.2,59.7
USW00014739,7,3.27,0,74.1,82.1,66
USW00014739,8,3.23,0,72.7,80.4,65.1
USW00014739,9,3.56,0,65.6,73.1,58.2
USW00014739,10,4.03,0.2,54.8,62.1,47.5
USW00014739,11,3.66,0.7,44.7,51.6,37.9
USW00014739,12,4.3,9,35.7,42.2,29.2
USW00014922,1,0.89,11,16.2,23.6,8.8
USW00014922,2,0.87,9.5,20.6,28.5,12.7
USW00014922,3,1.68,8.2,33.3,41.7,24.9
USW00014922,4,2.91,3.5,47.1,56.6,37.5
USW00014922,5,3.91,0,59.5,69.2,49.9
USW00014922,6,4.58,0,69.7,79,60.4
USW00014922,7,4.06,0,74.3,83.4,65.3
USW00014922,8,4.34,0,71.8,80.7,62.8
USW00014922,9,3.02,0,63.5,72.9,54.2
USW00014922,10,2.58,0.8,49.5,58.1,40.9
USW00014922,11,1.61,6.8,34.8,41.9,27.7
USW00014922,12,1.17,11.4,22,28.8,15.2
USW00093134,1,3.29,,58.4,68,48.9
USW00093134,2,3.64,,59,68,50
USW00093134,3,2.23,,61.1,69.9,52.4
USW00093134,4,0.69,,63.6,72.4,54.8
USW00093134,5,0.32,,65.9,73.7,58.1
USW00093134,6,0.09,,69.3,77.2,61.4
USW00093134,7,0.02,,73.3,82,64.7
USW00093134,8,0,,74.7,84,65.4
USW00093134,9,0.13,,73.6,83,64.2
USW00093134,10,0.58,,69.3,78.6,59.9
USW00093134,11,0.78,,63,72.9,53.1
USW00093134,12,2.48,,57.8,67.4,48.2
USW00023183,1,0.87,,56.8,67.6,46
USW00023183,2,0.87,,59.9,70.8,49
USW00023183,3,0.83,,66.3,78.1,54.5
USW00023183,4,0.22,,73.2,85.5,60.8
USW00023183,5,0.13,,82,94.5,69.5
USW00023183,6,0.02,,91.4,104.2,78.6
USW00023183,7,0.91,,95.5,106.5,84.5
USW00023183,8,0.93,,94.4,105.1,83.6
USW00023183,9,0.57,,89.2,100.4,78.1
USW00023183,10,0.56,,77.4,89.2,65.6
USW00023183,11,0.57,,65.1,76.5,53.7
USW00023183,12,0.74,,55.8,66.2,45.3