,file,input,output,PCR_clones_removed
0,AMH_macro_1_1_12px_S,41286656,41281283,5373
0,AMH_macro_1_10_8px_S10,26222829,26217876,4953
0,AMH_macro_1_11_8px_S,36376141,36368533,7608
0,AMH_macro_1_12_8px_S12,27504114,27496456,7658
0,AMH_macro_1_13_8px_S13,32155077,32149040,6037
0,AMH_macro_1_14_8px_S14,28386061,28381603,4458
0,AMH_macro_1_2_12px_S2,42914836,42907461,7375
0,AMH_macro_1_3_12px_S3,36067104,36061907,5197
0,AMH_macro_1_4_12px_S4,34892388,34887373,5015
0,AMH_macro_1_4_12px_S4,34892388,34887373,5015
0,AMH_macro_1_5_8px_S5,28829045,28824504,4541
0,AMH_macro_1_6_8px_S6,30453822,30449058,4764
0,AMH_macro_1_7_8px_S7,28759794,28755784,4010
0,AMH_macro_1_8_8px_S8,31632735,31627992,4743
0,AMH_macro_1_9_8px_S9,24957474,24953584,3890
0,AMH_macro_10_1_8px_S127,24347971,24330968,17003
0,AMH_macro_10_10_12px_S136,31353626,31346832,6794
0,AMH_macro_10_11_12px_S137,44396206,44387344,8862
0,AMH_macro_10_12_12px_S138,41711807,41705221,6586
0,AMH_macro_10_13_8px_S139,33840336,33832849,7487
0,AMH_macro_10_14_8px_S140,28656634,28650902,5732
0,AMH_macro_10_2_8px_S128,23962224,23950818,11406
0,AMH_macro_10_3_8px_S129,30804568,30784088,20480
0,AMH_macro_10_4_8px_S130,25523773,25511409,12364
0,AMH_macro_10_5_8px_S13,28106266,28090501,15765
0,AMH_macro_10_6_8px_S132,24090510,24077162,13348
0,AMH_macro_10_7_8px_S133,30079130,30054260,24870
0,AMH_macro_10_8_8px_S134,31553576,31546866,6710
0,AMH_macro_10_9_12px_S135,44285004,44275836,9168
0,AMH_macro_11_1_8px_S14,27718001,27713070,4931
0,AMH_macro_11_10_12px_S150,35739988,35533033,206955
0,AMH_macro_11_11_12px_S15,32161033,32055933,105100
0,AMH_macro_11_12_12px_S152,27381919,27376744,5175
0,AMH_macro_11_13_8px_S153,35256670,35226283,30387
0,AMH_macro_11_14_8px_S154,31313614,31305588,8026
0,AMH_macro_11_2_8px_S142,26234639,26229773,4866
0,AMH_macro_11_3_8px_S143,25173610,25169026,4584
0,AMH_macro_11_4_8px_S144,26429991,26425319,4672
0,AMH_macro_11_5_8px_S145,25388014,25383604,4410
0,AMH_macro_11_6_8px_S146,27983787,27978791,4996
0,AMH_macro_11_7_8px_S147,35140214,35133203,7011
0,AMH_macro_11_8_8px_S148,26320757,26260487,60270
0,AMH_macro_11_9_12px_S149,29466815,29348415,118400
0,AMH_macro_12_1_8px_S155,33265356,33259171,6185
0,AMH_macro_12_12_12px_S166,41661367,41651139,10228
0,AMH_macro_12_13_8px_S167,32173547,32167927,5620
0,AMH_macro_12_14_8px_S168,31947432,31941660,5772
0,AMH_macro_12_2_8px_S156,28729823,28724818,5005
0,AMH_macro_12_3_8px_S157,26220996,26216340,4656
0,AMH_macro_12_4_8px_S158,31541479,31363596,177883
0,AMH_macro_12_5_8px_S159,28322063,28316589,5474
0,AMH_macro_12_6_8px_S160,32981738,32974133,7605
0,AMH_macro_12_7_8px_S16,35705664,35692218,13446
0,AMH_macro_12_8_8px_S162,36354420,36348108,6312
0,AMH_macro_12_9_12px_S163,40721817,40712332,9485
0,AMH_macro_13_1_8px_S169,31172037,31166205,5832
0,AMH_macro_13_10_8px_S178,28542422,28537173,5249
0,AMH_macro_13_11_8px_S179,44444798,44436145,8653
0,AMH_macro_13_12_8px_S180,32886497,32881049,5448
0,AMH_macro_13_2_8px_S170,29326862,29317462,9400
0,AMH_macro_13_3_8px_S17,28158588,28153513,5075
0,AMH_macro_13_4_8px_S172,27911608,27907399,4209
0,AMH_macro_13_5_8px_S173,24264847,24210928,53919
0,AMH_macro_13_6_8px_S174,28652820,28647153,5667
0,AMH_macro_13_7_8px_S175,24482971,24479735,3236
0,AMH_macro_13_8_8px_S176,30057770,30052891,4879
0,AMH_macro_13_9_8px_S177,31760648,31746766,13882
0,AMH_macro_14_1_8px_S18,29873092,29867645,5447
0,AMH_macro_14_10_8px_S190,31328232,31322351,5881
0,AMH_macro_14_11_8px_S19,37203154,37196830,6324
0,AMH_macro_14_12_8px_S192,33168355,33157821,10534
0,AMH_macro_14_13_4px_S193,16690675,16687336,3339
0,AMH_macro_14_2_8px_S182,29329025,29323438,5587
0,AMH_macro_14_3_8px_S183,28397273,28392091,5182
0,AMH_macro_14_4_8px_S184,32193569,32175988,17581
0,AMH_macro_14_5_8px_S185,29707405,29700411,6994
0,AMH_macro_14_6_8px_S186,33220899,33214161,6738
0,AMH_macro_14_7_8px_S187,32178976,32166542,12434
0,AMH_macro_14_8_8px_S188,29196833,29183968,12865
0,AMH_macro_14_9_8px_S189,26452156,26442260,9896
0,AMH_macro_2_1_12px_S15,46979280,46970587,8693
0,AMH_macro_2_10_8px_S24,32764929,32729382,35547
0,AMH_macro_2_11_8px_S25,29315280,29310800,4480
0,AMH_macro_2_12_8px_S26,25066362,25059298,7064
0,AMH_macro_2_13_8px_S27,35771739,35714260,57479
0,AMH_macro_2_14_8px_S28,25367141,25363476,3665
0,AMH_macro_2_2_12px_S16,37986243,37979107,7136
0,AMH_macro_2_3_12px_S17,40553230,40530795,22435
0,AMH_macro_2_4_12px_S18,43093912,43077998,15914
0,AMH_macro_2_5_8px_S19,32846018,32839679,6339
0,AMH_macro_2_6_8px_S20,21403181,21396749,6432
0,AMH_macro_2_7_8px_S2,24761284,24757519,3765
0,AMH_macro_2_8_8px_S22,31851994,31843656,8338
0,AMH_macro_2_9_8px_S23,28072063,28059009,13054
0,AMH_macro_8_1_8px_S99,27664194,27660092,4102
0,AMH_macro_8_2_8px_S100,29296796,29290974,5822
0,AMH_macro_8_3_8px_S10,30432641,30430457,2184