species,sample,city
CD,CD.BA.LA.U.2,BA
CD,CD.BA.WGP.M.2,BA
CD,CD.PX.CAM.U.1,PX
CD,CD.PX.CAM.U.5,PX
CD,CD.PX.RRT.U.4,PX
CD,CD.PX.COY.M.5,PX
CD,CD.PX.ENC.M.2,PX
CD,CD.BA.WB.U.3,BA
CD,CD.BA.FH.U.3,BA
CD,CD.LA.SEP.M.4,LA
CD,CD.LA.ALL.M.3,LA
CD,CD.LA.KIN.M.3,LA
DS,DS.BA.DHI.U.4,BA
DS,DS.BA.CP.U.5,BA
DS,DS.BA.LA.U.5,BA
DS,DS.MN.L09-DS.M.3,MN
DS,DS.MN.L12-DS.M.5,MN
DS,DS.MN.L11-DS.U.1,MN
DS,DS.PX.LAP.M.3,PX
DS,DS.PX.WES.M.3,PX
DS,DS.BO.HC2.M.5,BO
DS,DS.BO.HC4.M.1,BO
DS,DS.BO.LC4.M.2,BO
DS,DS.BO.WL3.M.1,BO
EC,EC.PX.PSC.M.2,PX
EC,EC.PX.DOW.M.1,PX
EC,EC.PX.DOW.M.2,PX
EC,EC.PX.COY.M.2,PX
EC,EC.BA.FH.U.3,BA
EC,EC.BA.TRC.U.5,BA
EC,EC.BA.LL-4.M.1,BA
EC,EC.BA.GA.U.2,BA
EC,EC.LA.VER.U.1,LA
EC,EC.LA.VER.U.3,LA
EC,EC.LA.VB1.U.1,LA
EC,EC.LA.SGR.U.3,LA
LS,LS.MN.L06-LS.U.2,MN
LS,LS.MN.L07-LS.U.2,MN
LS,LS.PX.MON.U.2,PX
LS,LS.MN.L01-LS.M.4,MN
LS,LS.PX.MAN.M.2,PX
LS,LS.PX.COY.M.4,PX
LS,LS.BA.GA.U.1,BA
LS,LS.BA.CP.U.4,BA
LS,LS.LA.SSV.M.5,LA
LS,LS.LA.NAV.M.4,LA
LS,LS.LA.WES.M.3,LA
LS,LS.LA.GLO.M.5,LA
LS,LS.BO.I3.U.1,BO
LS,LS.BO.R2.U.4,BO
LS,LS.BO.WL1.M.2,BO
PA,PA.BA.PIK.U.5,BA
PA,PA.PX.BUF.M.3,PX
PA,PA.PX.PIE.M.4,PX
PA,PA.PX.ENC.M.5,PX
PA,PA.BA.WGP.M.5,BA
PA,PA.LA.ROS.M.5,LA
PA,PA.LA.WHI.M.3,LA
PA,PA.LA.NWH.M.1,LA
PA,PA.BO.HC4.M.5,BO
PA,PA.BO.LC3.M.3,BO
PA,PA.BO.LC2.M.1,BO
PA,PA.BO.I1.U.1,BO
TO,TO.MN.L01-TO.U.2,MN
TO,TO.MN.L05-TO.U.4,MN
TO,TO.PX.COY.M.1,PX
TO,TO.PX.COY.M.6,PX
TO,TO.BA.LH-3.M.4,BA
TO,TO.BA.WB.U.1,BA
TO,TO.BA.LH-2.M.1,BA
TO,TO.LA.RID.M.1,LA
TO,TO.LA.PEP.M.1,LA
TO,TO.BO.HC2.M.5,BO
TO,TO.BO.HC3.M.1,BO
TO,TO.MN.L07-TO.M.2,MN
TO,TO.MN.L09-TO.M.2,MN
TO,TO.BO.HC4.M.5,BO
TO,TO.BO.WL2.M.1,BO