spp,city,PA,NPA,Percent_private_alleles
CD,BA,11772,494760,2.3
CD,LA,6142,440798,1.4
CD,PX,27526,735710,3.6
DS,BA,10987,871128,1.2
DS,BO,4071,832739,0.5
DS,MN,13477,1292373,1.0
DS,PX,1921,587044,0.3
EC,BA,5114,103948,4.7
EC,LA,7162,94016,7.1
EC,PX,11255,71527,13.6
LS,BA,376,22543,1.6
LS,BO,213,38917,0.5
LS,LA,4006,64751,5.8
LS,MN,845,34931,2.4
LS,PX,4172,43343,8.8
PA,BA,401,140593,0.3
PA,BO,2765,180751,1.5
PA,LA,1846,113784,1.6
PA,MN,21,8931,0.2
PA,PX,1049,92201,1.1
TO,BA,666,121690,0.5
TO,BO,1942,117034,1.6
TO,LA,671,60169,1.1
TO,MN,1939,152865,1.3
TO,PX,407,35421,1.1