spp,city,n,Ia,p.Ia,rbarD,p.rD
CD,BA,55,664.7654669,0.001,0.295053424,0.001
CD,LA,48,470.591258,0.001,0.207006428,0.001
CD,PX,82,634.5786615,0.001,0.279256578,0.001
DS,BA,55,557.7334125,0.001,0.21238814,0.001
DS,BO,52,896.0906127,0.001,0.339887341,0.001
DS,MN,81,578.249424,0.001,0.219219726,0.001
DS,PX,36,965.8806457,0.001,0.399536809,0.001
EC,BA,41,130.0026565,0.001,0.101631463,0.001
EC,LA,37,138.0171827,0.001,0.107591079,0.001
EC,PX,29,283.0487897,0.001,0.229637997,0.001
LS,BA,20,44.25345998,0.001,0.080523548,0.001
LS,LA,60,59.62441917,0.001,0.107818387,0.001
LS,BO,34,129.9083493,0.001,0.238692594,0.001
LS,MN,30,61.84564623,0.001,0.112284528,0.001
LS,PX,40,127.1585983,0.001,0.232900216,0.001
PA,BA,47,230.665522,0.001,0.314204223,0.001
PA,LA,38,95.28187397,0.001,0.129217859,0.001
PA,BO,61,362.4910029,0.001,0.499178175,0.001
PA,PX,30,160.3390138,0.001,0.217412976,0.001
PA,MN,2,NA,NA,NA,NA
TO,BA,60,84.26478597,0.001,0.126021704,0.001
TO,LA,29,125.2532398,0.001,0.187465392,0.001
TO,BO,58,113.0783894,0.001,0.168979298,0.001
TO,MN,75,70.93299803,0.001,0.105974631,0.001
TO,PX,16,261.7957466,0.001,0.399130776,0.001