species,K,lnPr(X|K)
CD,1,-1170000
CD,2,-1074467.9
CD,3,-1014425.5
CD,4,-998470.6
CD,5,-988063.1
DS,1,-2185241.4
DS,2,-2099060.8
DS,3,-2041537
DS,4,-2002697.9
DS,5,-1971725.6
EC,1,-179579.3
EC,2,-166210.3
EC,3,-160951.2
EC,4,-162063.8
EC,5,-160849.7
LS,1,-140787.2
LS,2,-132742.6
LS,3,-127487.5
LS,4,-127033.1
LS,5,-421309.2
PA,1,-301574.5
PA,2,-289098.2
PA,3,-292765.1
PA,4,-280149.2
PA,5,-276439.1
TO,1,-395164.2
TO,2,-396218.8
TO,3,-380689.2
TO,4,-372262.1
TO,5,-371939.5